Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2022-01-05;11:19;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-05;20:17;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-06;17:45;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-07;08:44;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-07;14:56;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-09;09:24;AirBank - Spořící;AirBank - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-09;09:42;AirBank - Společný;CZK - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-10;16:10;AirBank - Spořící;AirBank - Společný;2430.0;2430.0;2430.0;2430.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-10;16:15;AirBank - Společný;CZK - Společný;2500.0;2500.0;2500.0;2500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-10;16:27;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-11;11:17;KB - Personal - účet;AirBank - Spořící;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-01-11;11:17;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-01-13;15:33;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-16;14:39;AirBank - Společný;CZK - Společný;25000.0;25000.0;25000.0;25000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-16;14:39;AirBank - Spořící;AirBank - Společný;25000.0;25000.0;25000.0;25000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-17;09:11;KB - Personal - účet;AirBank - Spořící;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['Renault Laguna', 'Vklad - Honza'];Zaloha na Renault Laguna service, pojisteni, ruceni
Transfer;2022-01-17;18:03;KB - Personal - účet;CZK;400.0;400.0;400.0;400.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2022-01-18;18:10;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-19;11:44;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-21;14:38;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2022-01-24;17:30;AirBank - Spořící;AirBank - Společný;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-24;17:33;AirBank - Společný;CZK - Společný;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-24;19:36;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-24;19:56;AirBank - Spořící;KB - Personal - účet;1722.0;1722.0;1722.0;1722.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-25;10:55;AirBank - Spořící;AirBank - Společný;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-01-31;19:02;AirBank - Spořící;AirBank - Společný;1700.0;1700.0;1700.0;1700.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-02;10:24;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-03;08:43;AirBank - Spořící;AirBank - Společný;800.0;800.0;800.0;800.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-04;13:37;AirBank - Spořící;AirBank - Společný;3183.0;3183.0;3183.0;3183.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-05;08:49;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-08;09:44;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-08;15:35;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-08;18:11;AirBank - Spořící;AirBank - Společný;2060.0;2060.0;2060.0;2060.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-08;18:26;AirBank - Spořící;AirBank - Společný;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-08;18:27;AirBank - Společný;CZK - Společný;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-09;11:20;KB - Personal - účet;AirBank - Spořící;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-02-09;11:20;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-02-09;11:22;KB - Personal - účet;AirBank - Spořící;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['Renault Laguna', 'Vklad - Honza'];Zaloha na Renault Laguna service, pojisteni, ruceni
Transfer;2022-02-14;12:14;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-17;10:25;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-18;08:32;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-18;18:50;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-19;08:40;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-21;17:03;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2022-02-22;16:02;AirBank - Spořící;AirBank - Společný;5400.0;5400.0;5400.0;5400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-22;16:04;AirBank - Společný;CZK - Společný;5400.0;5400.0;5400.0;5400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-24;12:24;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-25;08:37;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-25;20:19;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-26;12:53;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-26;20:59;AirBank - Spořící;AirBank - Společný;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-02-27;13:55;AirBank - Společný;AirBank - Spořící;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-02;12:35;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-03;18:43;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-05;16:32;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-07;16:50;AirBank - Spořící;AirBank - Společný;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-07;16:54;AirBank - Společný;CZK - Společný;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-08;09:52;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-09;12:08;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-03-09;12:08;KB - Personal - účet;AirBank - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-03-15;07:00;KB - Personal - účet;AirBank - Spořící;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['Renault Laguna', 'Vklad - Honza'];Zaloha na Renault Laguna service, pojisteni, ruceni
Transfer;2022-03-15;16:19;AirBank - Společný;CZK - Společný;1200.0;1200.0;1200.0;1200.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-21;07:28;AirBank - Společný;CZK - Společný;1600.0;1600.0;1600.0;1600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-22;17:19;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-22;19:37;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-25;10:32;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-25;10:42;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-03-29;12:03;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-01;13:41;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-03;02:40;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2022-04-03;13:33;AirBank - Spořící;AirBank - Společný;16100.0;16100.0;16100.0;16100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-03;21:37;AirBank - Spořící;AirBank - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-04;20:23;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-05;10:47;AirBank - Spořící;AirBank - Společný;2090.0;2090.0;2090.0;2090.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-07;09:07;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-07;16:26;AirBank - Spořící;AirBank - Společný;3700.0;3700.0;3700.0;3700.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-08;10:04;KB - Personal - účet;AirBank - Spořící;40000.0;40000.0;40000.0;40000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-04-08;10:05;KB - Personal - účet;AirBank - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-04-08;10:26;KB - Personal - účet;AirBank - Spořící;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['Renault Laguna', 'Vklad - Honza'];Zaloha na Renault Laguna service, pojisteni, ruceni
Transfer;2022-04-15;09:09;AirBank - Spořící;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-15;09:10;AirBank - Společný;CZK - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-19;20:29;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-20;09:57;CZK - Společný;AirBank - Společný;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-20;11:26;AirBank - Společný;AirBank - Spořící;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-21;11:44;KB - Personal - účet;AirBank - Spořící;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-04-21;14:23;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-23;10:25;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-23;17:47;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-24;11:22;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-25;10:07;AirBank - Spořící;AirBank - Společný;2580.0;2580.0;2580.0;2580.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-25;10:12;AirBank - Spořící;AirBank - Společný;1232.0;1232.0;1232.0;1232.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-25;11:57;AirBank - Spořící;AirBank - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-25;14:01;AirBank - Společný;CZK - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-25;17:39;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-28;16:26;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-04-30;09:08;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-03;05:47;AirBank - Spořící;AirBank - Společný;357.1;357.1;357.1;357.1;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-03;05:49;KB - Personal - účet;AirBank - Společný;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-05-10;12:06;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-11;11:14;KB - Personal - účet;AirBank - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-05-16;15:45;KB - Personal - účet;AirBank - Spořící;17000.0;17000.0;17000.0;17000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-18;16:04;AirBank - Společný;CZK - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-23;15:44;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-24;15:55;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-26;20:45;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-26;21:26;AirBank - Spořící;KB - Personal - účet;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-05-27;13:54;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-29;16:57;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-30;19:33;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-31;03:01;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-31;12:44;AirBank - Spořící;AirBank - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-05-31;12:46;AirBank - Společný;CZK - Společný;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-01;19:48;AirBank - Spořící;AirBank - Společný;3688.75;3688.75;3688.75;3688.75;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-05;10:05;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-06;11:41;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-08;19:38;AirBank - Spořící;AirBank - Společný;1800.0;1800.0;1800.0;1800.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-08;19:59;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-09;10:49;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-10;07:01;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-06-10;07:01;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-06-10;07:04;KB - Personal - účet;AirBank - Spořící;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['Renault Laguna', 'Vklad - Honza'];Zaloha na Renault Laguna service, pojisteni, ruceni
Transfer;2022-06-11;11:06;AirBank - Společný;CZK - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-13;07:00;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2022-06-21;11:02;AirBank - Spořící;AirBank - Společný;9000.0;9000.0;9000.0;9000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-06-29;06:44;AirBank - Spořící;AirBank - Společný;3150.0;3150.0;3150.0;3150.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-07-01;19:33;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-07-04;12:07;AirBank - Společný;CZK - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-07-04;21:09;AirBank - VASKO TechDesign;KB - Personal - účet;9000.0;9000.0;9000.0;9000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-07-05;07:10;AirBank - Spořící;AirBank - Společný;1312.29;1312.29;1312.29;1312.29;CZK;CZK;Transfer;Reconciled;[];
Transfer;2022-07-10;13:05;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
