Type;Date;Time;Account;Amount;Amount_LCY;Currency;Category_1;Category_2;Category_3;Payee;Payment_type;Payment_Status;Labels;Notes
Expense;2016-11-09;00:00;KB - Personal - účet;224.5;224.5;CZK;Food & Drinks;Groceries;Potraviny;Albert;Debit card;Reconciled;[];
Expense;2016-11-10;00:00;CZK;469.0;469.0;CZK;Shopping;Electronic, acesories;Elektronika;Alza;Cash;Reconciled;[];
Expense;2016-11-10;00:00;KB - Personal - účet;155.0;155.0;CZK;Shopping;Home, garden;Bydlení,_accessories;Hornbach;Debit card;Reconciled;['Byt - Těsná'];
Expense;2016-11-10;00:00;Stravenky;95.0;95.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2016-11-10;00:00;CZK;30.0;30.0;CZK;Food & Drinks;Work;Svačina;Crocus;Cash;Reconciled;[];
Income;2016-11-10;00:00;KB - Personal - účet;31733.0;31733.0;CZK;Income;Wage, invoices;Výplata;Konica Minolta;Web payment;Reconciled;[];
Income;2016-11-10;00:00;KB - Personal - účet;3000.0;3000.0;CZK;Income;Wage, invoices;OnCall_Duty;Konica Minolta;Web payment;Reconciled;[];
Expense;2016-11-11;00:00;Trezor;800.0;800.0;CZK;Housing;Maintenance, repairs;Úklid;SVJ Tesna;Cash;Reconciled;['Byt - Těsná'];
Expense;2016-11-11;00:00;CZK;150.0;150.0;CZK;Life & Entertaiment;Active sport, fitness;Fitko;Fitko - Mismas;Cash;Reconciled;[];
Expense;2016-11-11;00:00;Stravenky;95.0;95.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2016-11-11;00:00;CZK;80.0;80.0;CZK;Life & Entertaiment;Free Time;Party;Savoy;Cash;Reconciled;[];
Expense;2016-11-11;00:00;CZK;35.0;35.0;CZK;Food & Drinks;Občerstvení;Fastfood;Fastfood - no name;Cash;Reconciled;[];
Expense;2016-11-12;00:00;CZK;230.0;230.0;CZK;Food & Drinks;Občerstvení;Restaurace;Restaurace;Cash;Reconciled;[];
Income;2016-11-12;00:00;CZK;20.0;20.0;CZK;Income;Gifts;Nálezy;;Cash;Reconciled;[];
Expense;2016-11-13;00:00;CZK;364.0;364.0;CZK;Food & Drinks;Groceries;Potraviny;Kaufland;Cash;Reconciled;[];
Expense;2016-11-13;00:00;CZK;99.0;99.0;CZK;Shopping;Electronic, acesories;Elektronika;Kaufland;Cash;Reconciled;[];
