Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2021-04-05;20:25;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-07;12:56;AirBank - Spořící;AirBank - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-08;07:33;AirBank - Společný;AirBank - Spořící;6180.0;6180.0;6180.0;6180.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-08;07:53;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-04-08;08:05;KB - Personal - účet;AirBank - Spořící;35000.0;35000.0;35000.0;35000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-04-12;12:37;AirBank - Společný;AirBank - Spořící;4104.0;4104.0;4104.0;4104.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-12;12:40;AirBank - Společný;AirBank - Spořící;3820.0;3820.0;3820.0;3820.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-18;14:47;KB - Personal - účet;AirBank - Společný;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-19;13:57;AirBank - Spořící;AirBank - Společný;7000.0;7000.0;7000.0;7000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-22;16:29;AirBank - Spořící;AirBank - Společný;708.0;708.0;708.0;708.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-26;14:42;AirBank - Spořící;AirBank - Společný;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-04-26;18:28;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-04-29;07:42;AirBank - Spořící;AirBank - Společný;1335.13;1335.13;1335.13;1335.13;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-03;15:37;AirBank - Spořící;AirBank - Společný;8000.0;8000.0;8000.0;8000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-11;09:06;AirBank - Spořící;AirBank - Společný;6400.0;6400.0;6400.0;6400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-12;12:36;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-05-12;12:36;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];Svatba
Transfer;2021-05-20;08:13;KB - Personal - účet;AirBank - Spořící;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-05-22;17:27;AirBank - Spořící;AirBank - Společný;1399.0;1399.0;1399.0;1399.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-22;19:30;AirBank - Společný;AirBank - Spořící;210.0;210.0;210.0;210.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-28;13:59;AirBank - Spořící;AirBank - Společný;2183.0;2183.0;2183.0;2183.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-28;14:07;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-05-28;18:25;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-06-02;08:05;AirBank - Spořící;AirBank - Společný;3801.0;3801.0;3801.0;3801.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-03;18:05;AirBank - Spořící;AirBank - Společný;35000.0;35000.0;35000.0;35000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-04;13:05;AirBank - Společný;AirBank - Spořící;150000.0;150000.0;150000.0;150000.0;CZK;CZK;Transfer;Reconciled;[];Svatba
Transfer;2021-06-06;15:17;AirBank - Spořící;AirBank - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-06;21:18;AirBank - Společný;AirBank - Spořící;6579.42;6579.42;6579.42;6579.42;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;10:31;AirBank - Spořící;AirBank - Společný;2520.0;2520.0;2520.0;2520.0;CZK;CZK;Transfer;Reconciled;[];
