Type;Date;Time;Account;Amount;Amount_LCY;Currency;Category_1;Category_2;Category_3;Payee;Payment_type;Payment_Status;Labels;Notes
Expense;2017-06-01;00:00;Stravenky;100.0;100.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-01;00:00;CZK;30.0;30.0;CZK;Food & Drinks;Work;Svačina;Crocus;Cash;Reconciled;[];
Expense;2017-06-01;00:00;CZK;10.0;10.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-02;00:00;Stravenky;100.0;100.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-02;00:00;CZK;70.0;70.0;CZK;Food & Drinks;Work;Svačina;Okay Market;Cash;Reconciled;[];
Expense;2017-06-02;00:00;CZK;30.0;30.0;CZK;Food & Drinks;Work;Svačina;My Food;Cash;Reconciled;[];
Expense;2017-06-02;00:00;CZK;25.0;25.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-03;00:00;CZK;132.0;132.0;CZK;Food & Drinks;Občerstvení;Fastfood;Fastfood - no name;Cash;Reconciled;[];
Expense;2017-06-03;00:00;CZK;120.0;120.0;CZK;Life & Entertaiment;Events_-_Culture,_Sports;Představení;Valdstejn;Cash;Reconciled;[];
Expense;2017-06-03;00:00;CZK;32.0;32.0;CZK;Food & Drinks;Groceries;Potraviny;Cukrarna;Cash;Reconciled;[];
Expense;2017-06-03;00:00;CZK;16.0;16.0;CZK;Food & Drinks;Groceries;Potraviny;Lidl;Cash;Reconciled;[];
Expense;2017-06-04;00:00;CZK;804.0;804.0;CZK;Vehicle;Fuel;Diesel;ONO;Cash;Reconciled;[];
Expense;2017-06-04;00:00;CZK;180.0;180.0;CZK;Food & Drinks;Groceries;Potraviny;Cukrarna;Cash;Reconciled;[];
Expense;2017-06-05;00:00;CZK;90.0;90.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-05;00:00;CZK;45.0;45.0;CZK;Shopping;Ostatní;;Hornbach;Cash;Reconciled;[];
Expense;2017-06-05;00:00;CZK;28.0;28.0;CZK;Food & Drinks;Work;Svačina;Okay Market;Cash;Reconciled;[];
Income;2017-06-05;00:00;KB - Personal - účet;68.0;68.0;CZK;Income;Bank incomes;Bonus_za_vedení_účtu;Komercni Banka;Web payment;Reconciled;[];
Income;2017-06-05;00:00;KB - Personal - účet;99.0;99.0;CZK;Income;Bank incomes;Bonus_za_výběr_z_ATM;Komercni Banka;Web payment;Reconciled;[];
Expense;2017-06-06;00:00;KB - Personal - účet;400.0;400.0;CZK;Life & Entertaiment;Events_-_Culture,_Sports;Představení;Vosmekova Jitka;Debit card;Reconciled;[];
Expense;2017-06-06;00:00;CZK;279.0;279.0;CZK;Food & Drinks;Groceries;Potraviny;Albert;Cash;Reconciled;[];
Expense;2017-06-06;00:00;CZK;80.0;80.0;CZK;Food & Drinks;Work;Oběd;IQ Restaurant;Cash;Reconciled;[];
Expense;2017-06-06;00:00;CZK;66.0;66.0;CZK;Food & Drinks;Work;Svačina;Okay Market;Cash;Reconciled;[];
Expense;2017-06-06;00:00;CZK;50.0;50.0;CZK;Food & Drinks;Work;Svačina;My Food;Cash;Reconciled;[];
Income;2017-06-06;00:00;KB - Personal - účet;3088.28;3088.28;CZK;Income;Wage, invoices;Služební_Cesty;Konica Minolta;Web payment;Reconciled;[];
Expense;2017-06-07;00:00;KB - Personal - účet;533.0;533.0;CZK;Food & Drinks;Občerstvení;Restaurace;Havana;Debit card;Reconciled;[];
Expense;2017-06-07;00:00;CZK;200.0;200.0;CZK;Life & Entertaiment;Wellness, beauty;Kadeřník;Kadernictvi - Studio Belle;Cash;Reconciled;[];
Expense;2017-06-07;00:00;CZK;170.0;170.0;CZK;Life & Entertaiment;Free Time;Party;Savoy;Cash;Reconciled;[];
Expense;2017-06-07;00:00;CZK;29.0;29.0;CZK;Food & Drinks;Work;Svačina;Crocus;Cash;Reconciled;[];
Expense;2017-06-07;00:00;CZK;25.0;25.0;CZK;Food & Drinks;Work;Svačina;Okay Market;Cash;Reconciled;[];
Expense;2017-06-07;00:00;CZK;24.0;24.0;CZK;Food & Drinks;Work;Svačina;My Food;Cash;Reconciled;[];
Income;2017-06-07;00:00;Stravenky;1700.0;1700.0;CZK;Income;Wage, invoices;Stravenky;Konica Minolta;Cash;Reconciled;[];
