Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2019-01-06;14:58;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-01-06;17:06;CZK;Trezor;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2019-01-10;16:59;KB - Personal - účet;CZK;2500.0;2500.0;2500.0;2500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-01-11;16:20;KB - Personal - účet;Benzina - Karta;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-01-16;11:18;KB - Personal - účet;CZK;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-01-16;17:32;CZK;Trezor;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2019-01-18;19:49;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-02-01;07:50;KB - Personal - účet;Benzina - Karta;1800.0;1800.0;1800.0;1800.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-02-06;13:25;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-02-06;16:09;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-02-13;11:16;KB - Personal - účet;CZK;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2019-02-13;18:14;CZK;Trezor;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2019-02-14;17:22;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-02-18;16:11;KB - Personal - účet;CZK;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-04;11:11;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-08;11:05;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-18;07:21;KB - Personal - účet;CZK;7000.0;7000.0;7000.0;7000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-18;17:49;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-18;18:34;CZK;Trezor;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2019-03-19;12:55;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-23;13:05;KB - Personal - účet;AED;628.96;628.96;100.0;628.96;CZK;AED;Transfer;Reconciled;['KM-Dubai: 2019-03'];
Transfer;2019-03-29;08:23;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2019-03-31;06:55;KB - Personal - účet;Benzina - Karta;1400.0;1400.0;1400.0;1400.0;CZK;CZK;Transfer;Cleared;[];
